fold,auroc,balanced_accuracy,f1,auprc,brier_score,n_train,n_test,n_stroke_test
1,0.7769858927742063,0.523554623009384,0.08823529411764706,0.1229314619837939,0.04371410065068627,33604,8401,347
2,0.7875163968858621,0.5232671184204029,0.08823529411764706,0.12399283981428436,0.05090274940259295,33604,8401,347
3,0.7723010171257556,0.5159644660787523,0.06622516556291391,0.11995502606436595,0.051114262365676295,33604,8401,347
4,0.7770440377595323,0.5215288517206264,0.08256880733944955,0.11710650131503507,0.04418131439077196,33604,8401,347
5,0.7841539384908316,0.522331757565896,0.08501118568232663,0.13182665127492588,0.055322276954274406,33604,8401,348
6,0.7751091515555304,0.5076162774471167,0.03827751196172249,0.10835706660713314,0.04319983380254946,33604,8401,347
7,0.8019893099102671,0.5211694262574882,0.0815450643776824,0.1282444403717901,0.043244430779465624,33604,8401,347
8,0.7947680605480729,0.515827243913383,0.06496519721577726,0.12974999156242673,0.05067812783948574,33604,8401,347
9,0.7972251781741257,0.5200258485768613,0.0779816513761468,0.13539548666028983,0.041255912649276937,33604,8401,347
10,0.7991824279093535,0.5296398429370934,0.10666666666666667,0.14384348870910957,0.044130485767222484,33604,8401,348
11,0.7935450478721081,0.5186960280355439,0.07334963325183375,0.13181315648995626,0.05021564515278253,33604,8401,347
12,0.7956230601938358,0.508410269585199,0.03674540682414698,0.13945818369862717,0.04172120416354732,33604,8401,347
13,0.7933591628267121,0.5065968616736166,0.031088082901554404,0.11881201776176632,0.04961578515336985,33604,8401,347
14,0.7617619254470365,0.5115044773427777,0.0514018691588785,0.10909526591007504,0.04593082473558684,33604,8401,347
15,0.814821277427845,0.5146423978498768,0.06103286384976526,0.1430868269204329,0.04861001461441222,33604,8401,348
16,0.8058061256547125,0.5382121687256551,0.12863070539419086,0.14599578014058942,0.04259803232838488,33604,8401,347
17,0.7712749817693108,0.502721722036198,0.02,0.11242046152631613,0.04161066879215221,33604,8401,347
18,0.7773265329343932,0.5145104836303082,0.06074766355140187,0.10885095407229413,0.07097512498190853,33604,8401,347
19,0.7806032264920719,0.5286093007645082,0.1038374717832957,0.12937347033289825,0.04691634596772851,33604,8401,347
20,0.7942795645515128,0.5103320530222906,0.04728132387706856,0.13176721127455732,0.0500688145355438,33604,8401,348
21,0.7848724996761771,0.5255542737816568,0.09401709401709402,0.13385651996228218,0.04350461734708057,33604,8401,347
22,0.7785180578644582,0.5202872326493575,0.07894736842105263,0.12238662389730562,0.04291089665092019,33604,8401,347
23,0.7920738902895369,0.5215288517206264,0.08256880733944955,0.12776748988264047,0.04208962431783116,33604,8401,347
24,0.798248172100569,0.5289327657905679,0.1038961038961039,0.1346115104218979,0.05119329209293628,33604,8401,347
25,0.7820987680752944,0.5251432321216767,0.09333333333333334,0.1272777748973576,0.06379993355853195,33604,8401,348
