"variable","description","source","type","tier"
"stroke","Self-reported stroke (MCQ160F)","MCQ","binary","Outcome"
"age","Age at screening (years, 20-80)","DEMO","continuous","Tier 1"
"sex","Sex (Male/Female)","DEMO","categorical","Tier 1"
"race_eth","Race/ethnicity (5-level)","DEMO","categorical","Tier 1"
"mean_sbp","Mean systolic BP (mmHg, avg readings 2-3)","BPX/BPXO","continuous","Tier 1"
"mean_dbp","Mean diastolic BP (mmHg, avg readings 2-3)","BPX/BPXO","continuous","Tier 1"
"htn_med","Currently taking antihypertensive medication","BPQ","binary","Tier 1"
"hba1c","Glycohemoglobin (%)","GHB","continuous","Tier 1"
"total_chol","Total cholesterol (mg/dL)","TCHOL","continuous","Tier 1"
"hdl_c","HDL cholesterol (mg/dL)","HDL","continuous","Tier 1"
"smoking","Smoking status (Never/Former/Current)","SMQ","categorical","Tier 1"
"bmxwaist","Waist circumference (cm)","BMX","continuous","Tier 1"
"bmxbmi","Body mass index (kg/m²)","BMX","continuous","Tier 1"
"alcohol_drinks_per_day","Avg alcoholic drinks per day (past 12 mo)","ALQ","continuous","Tier 1"
"phys_active","Any moderate/vigorous physical activity","PAQ","binary","Tier 1"
"triglycerides","Triglycerides (mg/dL)","TRIGLY","continuous","Tier 2"
"creatinine","Serum creatinine (mg/dL)","BIOPRO","continuous","Tier 2"
"wbc","White blood cell count (1000 cells/uL)","CBC","continuous","Tier 2"
"education","Education level (4-level)","DEMO","categorical","Tier 2"
"pir","Poverty-income ratio (0-5)","DEMO","continuous","Tier 2"
"sleep_hrs","Sleep duration (hours/night, weekdays)","SLQ","continuous","Tier 2"
"diabetes_sr","Self-reported diabetes","DIQ","binary","Tier 2"
"chd_sr","Self-reported coronary heart disease","MCQ","binary","Tier 2"
